probando con i=10
Construcción M-Tree (CCP): 9998000 ns
1 (accesos, tiempo): (2, 0 ns)
2 (accesos, tiempo): (3, 0 ns)
3 (accesos, tiempo): (3, 0 ns)
4 (accesos, tiempo): (2, 0 ns)
5 (accesos, tiempo): (2, 0 ns)
6 (accesos, tiempo): (3, 0 ns)
7 (accesos, tiempo): (5, 0 ns)
8 (accesos, tiempo): (2, 0 ns)
9 (accesos, tiempo): (3, 0 ns)
10 (accesos, tiempo): (4, 0 ns)
11 (accesos, tiempo): (4, 0 ns)
12 (accesos, tiempo): (4, 0 ns)
13 (accesos, tiempo): (4, 0 ns)
14 (accesos, tiempo): (5, 1.002e+006 ns)
15 (accesos, tiempo): (3, 0 ns)
16 (accesos, tiempo): (4, 0 ns)
17 (accesos, tiempo): (3, 0 ns)
18 (accesos, tiempo): (5, 0 ns)
19 (accesos, tiempo): (3, 0 ns)
20 (accesos, tiempo): (4, 0 ns)
21 (accesos, tiempo): (5, 0 ns)
22 (accesos, tiempo): (4, 0 ns)
23 (accesos, tiempo): (4, 0 ns)
24 (accesos, tiempo): (4, 0 ns)
25 (accesos, tiempo): (5, 0 ns)
26 (accesos, tiempo): (2, 0 ns)
27 (accesos, tiempo): (5, 0 ns)
28 (accesos, tiempo): (5, 0 ns)
29 (accesos, tiempo): (4, 0 ns)
30 (accesos, tiempo): (5, 0 ns)
31 (accesos, tiempo): (4, 0 ns)
32 (accesos, tiempo): (6, 0 ns)
33 (accesos, tiempo): (3, 0 ns)
34 (accesos, tiempo): (4, 0 ns)
35 (accesos, tiempo): (4, 0 ns)
36 (accesos, tiempo): (6, 0 ns)
37 (accesos, tiempo): (3, 0 ns)
38 (accesos, tiempo): (6, 0 ns)
39 (accesos, tiempo): (6, 0 ns)
40 (accesos, tiempo): (6, 0 ns)
41 (accesos, tiempo): (4, 0 ns)
42 (accesos, tiempo): (6, 0 ns)
43 (accesos, tiempo): (4, 0 ns)
44 (accesos, tiempo): (6, 0 ns)
45 (accesos, tiempo): (6, 2.005e+006 ns)
46 (accesos, tiempo): (4, 0 ns)
47 (accesos, tiempo): (3, 0 ns)
48 (accesos, tiempo): (4, 0 ns)
49 (accesos, tiempo): (3, 0 ns)
50 (accesos, tiempo): (3, 0 ns)
51 (accesos, tiempo): (4, 0 ns)
52 (accesos, tiempo): (5, 0 ns)
53 (accesos, tiempo): (4, 0 ns)
54 (accesos, tiempo): (3, 0 ns)
55 (accesos, tiempo): (4, 0 ns)
56 (accesos, tiempo): (3, 0 ns)
57 (accesos, tiempo): (3, 0 ns)
58 (accesos, tiempo): (3, 0 ns)
59 (accesos, tiempo): (3, 0 ns)
60 (accesos, tiempo): (4, 0 ns)
61 (accesos, tiempo): (4, 0 ns)
62 (accesos, tiempo): (3, 0 ns)
63 (accesos, tiempo): (4, 999000 ns)
64 (accesos, tiempo): (5, 0 ns)
65 (accesos, tiempo): (5, 0 ns)
66 (accesos, tiempo): (5, 0 ns)
67 (accesos, tiempo): (4, 0 ns)
68 (accesos, tiempo): (3, 0 ns)
69 (accesos, tiempo): (3, 0 ns)
70 (accesos, tiempo): (4, 0 ns)
71 (accesos, tiempo): (2, 0 ns)
72 (accesos, tiempo): (3, 0 ns)
73 (accesos, tiempo): (2, 0 ns)
74 (accesos, tiempo): (3, 0 ns)
75 (accesos, tiempo): (4, 0 ns)
76 (accesos, tiempo): (4, 0 ns)
77 (accesos, tiempo): (5, 0 ns)
78 (accesos, tiempo): (5, 0 ns)
79 (accesos, tiempo): (4, 996000 ns)
80 (accesos, tiempo): (2, 0 ns)
81 (accesos, tiempo): (4, 0 ns)
82 (accesos, tiempo): (2, 0 ns)
83 (accesos, tiempo): (3, 0 ns)
84 (accesos, tiempo): (4, 0 ns)
85 (accesos, tiempo): (2, 0 ns)
86 (accesos, tiempo): (2, 0 ns)
87 (accesos, tiempo): (3, 0 ns)
88 (accesos, tiempo): (3, 0 ns)
89 (accesos, tiempo): (4, 0 ns)
90 (accesos, tiempo): (2, 0 ns)
91 (accesos, tiempo): (2, 0 ns)
92 (accesos, tiempo): (2, 0 ns)
93 (accesos, tiempo): (2, 0 ns)
94 (accesos, tiempo): (2, 0 ns)
95 (accesos, tiempo): (3, 0 ns)
96 (accesos, tiempo): (2, 0 ns)
97 (accesos, tiempo): (2, 0 ns)
98 (accesos, tiempo): (2, 0 ns)
99 (accesos, tiempo): (3, 0 ns)
100 (accesos, tiempo): (3, 0 ns)
La media de accesos es 3.64
la desviacion estandar es 1.17064
y la varianza es1.3704
probando con i=11
Construcción M-Tree (CCP): 29995000 ns
1 (accesos, tiempo): (5, 0 ns)
2 (accesos, tiempo): (7, 0 ns)
3 (accesos, tiempo): (7, 0 ns)
4 (accesos, tiempo): (4, 0 ns)
5 (accesos, tiempo): (5, 0 ns)
6 (accesos, tiempo): (4, 0 ns)
7 (accesos, tiempo): (6, 0 ns)
8 (accesos, tiempo): (5, 0 ns)
9 (accesos, tiempo): (7, 0 ns)
10 (accesos, tiempo): (4, 0 ns)
11 (accesos, tiempo): (7, 0 ns)
12 (accesos, tiempo): (6, 0 ns)
13 (accesos, tiempo): (6, 0 ns)
14 (accesos, tiempo): (6, 997000 ns)
15 (accesos, tiempo): (4, 0 ns)
16 (accesos, tiempo): (7, 0 ns)
17 (accesos, tiempo): (4, 0 ns)
18 (accesos, tiempo): (7, 0 ns)
19 (accesos, tiempo): (4, 0 ns)
20 (accesos, tiempo): (6, 0 ns)
21 (accesos, tiempo): (7, 0 ns)
22 (accesos, tiempo): (6, 0 ns)
23 (accesos, tiempo): (7, 0 ns)
24 (accesos, tiempo): (5, 0 ns)
25 (accesos, tiempo): (8, 0 ns)
26 (accesos, tiempo): (4, 0 ns)
27 (accesos, tiempo): (7, 0 ns)
28 (accesos, tiempo): (5, 0 ns)
29 (accesos, tiempo): (5, 0 ns)
30 (accesos, tiempo): (5, 0 ns)
31 (accesos, tiempo): (6, 0 ns)
32 (accesos, tiempo): (5, 0 ns)
33 (accesos, tiempo): (5, 1e+006 ns)
34 (accesos, tiempo): (6, 0 ns)
35 (accesos, tiempo): (6, 0 ns)
36 (accesos, tiempo): (5, 0 ns)
37 (accesos, tiempo): (6, 0 ns)
38 (accesos, tiempo): (5, 0 ns)
39 (accesos, tiempo): (6, 0 ns)
40 (accesos, tiempo): (5, 0 ns)
41 (accesos, tiempo): (5, 0 ns)
42 (accesos, tiempo): (5, 0 ns)
43 (accesos, tiempo): (5, 0 ns)
44 (accesos, tiempo): (5, 0 ns)
45 (accesos, tiempo): (6, 0 ns)
46 (accesos, tiempo): (5, 0 ns)
